N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
1053,Junior Software Engineer,C#/.NET,,2,2,350,65,Кропивницкий,до 200 человек,Продуктовая,мужской,23,Высшее,ХНУРЭ,False,средний,"Desktop Applications,Embedded",12/06/2017 16:52:04,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,350,,DEV,605.65859375
1070,Junior Software Engineer,Java,,1,0.5,1300,800,Днепр,до 200 человек,Аутсорсинговая,мужской,22,Высшее,ДНУЖТ,False,ниже среднего,Android,12/06/2017 17:00:23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,1300,,DEV,605.65859375
1074,Junior Software Engineer,C#/.NET,,1,0.5,600,400,Сумы,до 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,СумГУ,True,средний,"Веб-разработка,Корпоративные системы",12/06/2017 17:00:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,600,,DEV,605.65859375
1077,Junior Software Engineer,C#/.NET,,1.5,1.5,1000,500,Киев,до 10 человек,Продуктовая,мужской,24,Высшее,НТУУ «КПИ»,False,элементарный,"Финансы и банки,eCommerce",12/06/2017 17:02:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1000,,DEV,605.65859375
1078,Junior Software Engineer,PHP,,1.5,0.25,1000,750,Киев,до 10 человек,Продуктовая,мужской,22,Высшее,КНУ им. Шевченко,True,выше среднего,Веб-разработка,12/06/2017 17:02:09,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.25,1000,,DEV,605.65859375
1079,Junior Software Engineer,JavaScript,,0.5,0.25,250,0,Харьков,до 50 человек,Аутсорсинговая,женский,23,Высшее,ХНУ им. Каразина,False,средний,"Веб-разработка,eCommerce",12/06/2017 17:02:56,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.25,250,,DEV,605.65859375
1088,Junior Software Engineer,Java,,1,1,482,0,Киев,до 10 человек,Другая,женский,27,Высшее,НАУ,False,выше среднего,Android,12/06/2017 17:05:09,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,482,,DEV,605.65859375
1091,Junior Software Engineer,Java,,0.5,меньше 3 месяцев,400,400,Киев,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,True,средний,Android,12/06/2017 17:07:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.0,400,,DEV,605.65859375
1109,Junior Software Engineer,Python,,1,меньше 3 месяцев,300,0,Киев,до 10 человек,Аутстаффинговая,мужской,19,Незаконченное высшее,КНУ им. Шевченко,False,средний,Веб-разработка,12/06/2017 17:14:59,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.0,300,,DEV,605.65859375
1115,Junior Software Engineer,Ruby/Rails,,1,0.5,700,350,Киев,до 10 человек,Аутсорсинговая,мужской,21,Высшее,НТУУ «КПИ»,True,ниже среднего,"Веб-разработка,Финансы и банки",12/06/2017 17:17:41,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",1.0,0.5,700,,DEV,605.65859375
1118,Junior Software Engineer,C#/.NET,,1,0.25,450,250,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Незаконченное высшее,Другой вуз,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 17:19:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,450,,DEV,605.65859375
1125,Junior Software Engineer,PHP,,меньше 3 месяцев,меньше 3 месяцев,300,-550,Львов,до 10 человек,Аутсорсинговая,мужской,35,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 17:21:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,300,,DEV,605.65859375
1127,Junior Software Engineer,Java,,1.5,0.25,500,250,Сумы,до 50 человек,Аутсорсинговая,мужской,23,Незаконченное высшее,СумГУ,True,элементарный,Веб-разработка,12/06/2017 17:21:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.25,500,,DEV,605.65859375
1135,Junior Software Engineer,PHP,,2,меньше 3 месяцев,500,200,Харьков,до 50 человек,Аутсорсинговая,мужской,24,Высшее,ДонНТУ,False,средний,Веб-разработка,12/06/2017 17:23:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,0.0,500,,DEV,605.65859375
1150,Junior Software Engineer,Swift,,1.5,1,900,600,Киев,до 200 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,iOS,12/06/2017 17:30:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.5,1.0,900,,DEV,605.65859375
1163,Junior Software Engineer,Swift,,0.5,0.25,760,300,Киев,до 50 человек,Продуктовая,мужской,24,Высшее,КНУТД,False,продвинутый,iOS,12/06/2017 17:34:05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.25,760,,DEV,605.65859375
1168,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,400,0,Киев,до 1000 человек,Продуктовая,мужской,24,Высшее,НАУ,False,средний,Веб-разработка,12/06/2017 17:36:12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,400,,DEV,605.65859375
1172,Junior Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,360,0,Львов,до 50 человек,Продуктовая,мужской,20,Незаконченное высшее,ЛНУ им. Франко,True,средний,Веб-разработка,12/06/2017 17:37:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,360,,DEV,605.65859375
1181,Junior Software Engineer,JavaScript,,1.5,1.5,1100,550,Львов,свыше 1000 человек,Аутсорсинговая,мужской,27,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 17:40:28,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1100,,DEV,605.65859375
1188,Junior Software Engineer,Python,,1.5,1.5,952,550,Львов,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,Львовская Политехника,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 17:43:03,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,952,,DEV,605.65859375
1194,Junior Software Engineer,Java,,1,0.25,580,0,Киев,до 10 человек,Продуктовая,мужской,22,Незаконченное высшее,НАУ,True,средний,"Веб-разработка,eCommerce",12/06/2017 17:45:17,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,580,,DEV,605.65859375
1195,Junior Software Engineer,Python,,1,0.25,300,0,Львов,до 50 человек,Стартап,мужской,21,Высшее,Львовская Политехника,True,средний,"Финансы и банки,Другое",12/06/2017 17:45:49,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,300,,DEV,605.65859375
1226,Junior Software Engineer,C#/.NET,,1,1,655,300,Львов,до 1000 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,Львовская Политехника,True,средний,Desktop Applications,12/06/2017 18:00:03,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,655,,DEV,605.65859375
1231,Junior Software Engineer,C#/.NET,,2,1,900,500,Киев,до 10 человек,Продуктовая,мужской,22,Среднее,,False,ниже среднего,Веб-разработка,12/06/2017 18:01:25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,1.0,900,,DEV,605.65859375
1239,Junior Software Engineer,JavaScript,,1.5,меньше 3 месяцев,400,200,Киев,до 200 человек,Аутсорсинговая,мужской,23,Высшее,КНУТД,False,ниже среднего,Веб-разработка,12/06/2017 18:03:43,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone6,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/lifecell;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",1.5,0.0,400,,DEV,605.65859375
1241,Junior Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,200,0,Киев,до 50 человек,Аутсорсинговая,женский,28,Высшее,КНУ им. Шевченко,False,средний,"Веб-разработка,eCommerce",12/06/2017 18:05:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) CriOS/58.0.3029.113 Mobile/14F89 Safari/602.1",0.0,0.0,200,,DEV,605.65859375
1254,Junior Software Engineer,C#/.NET,,0.5,0.5,740,150,Киев,до 10 человек,Другая,мужской,26,Высшее,НТУУ «КПИ»,False,средний,Корпоративные системы,12/06/2017 18:12:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,740,,DEV,605.65859375
1259,Junior Software Engineer,JavaScript,,1,0.25,250,50,Кропивницкий,до 200 человек,Аутсорсинговая,мужской,22,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,12/06/2017 18:12:53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,250,,DEV,605.65859375
1260,Junior Software Engineer,C#/.NET,,2,2,760,285,Львов,до 1000 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,Львовская Политехника,True,выше среднего,"Телекоммуникации,Корпоративные системы",12/06/2017 18:13:48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,760,,DEV,605.65859375
1262,Junior Software Engineer,Swift,,1,1,425,300,Харьков,до 50 человек,Аутсорсинговая,мужской,23,Высшее,НТУ «ХПИ»,False,средний,iOS,12/06/2017 18:13:52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.0,1.0,425,,DEV,605.65859375
1264,Junior Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,1500,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,КНУ им. Шевченко,False,выше среднего,"Веб-разработка,eCommerce",12/06/2017 18:14:11,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,1500,,DEV,605.65859375
1278,Junior Software Engineer,JavaScript,,2,1.5,500,100,Львов,до 10 человек,Продуктовая,женский,26,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 18:21:07,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,500,,DEV,605.65859375
1290,Junior Software Engineer,Swift,,1,0.25,750,250,Киев,до 50 человек,Аутсорсинговая,мужской,24,Высшее,КНЭУ,False,средний,iOS,12/06/2017 18:26:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",1.0,0.25,750,,DEV,605.65859375
1299,Junior Software Engineer,Java,,1,0.5,200,100,Другой,до 50 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,ДНУ им. Гончара,True,средний,"Android,iOS",12/06/2017 18:30:01,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.34 Safari/534.24",1.0,0.5,200,,DEV,605.65859375
1304,Junior Software Engineer,PHP,,1.5,меньше 3 месяцев,900,400,Киев,до 1000 человек,Продуктовая,мужской,23,Высшее,НТУУ «КПИ»,True,средний,Веб-разработка,12/06/2017 18:32:39,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",1.5,0.0,900,,DEV,605.65859375
1306,Junior Software Engineer,C#/.NET,,0.5,0.5,500,200,Киев,до 50 человек,Продуктовая,мужской,22,Незаконченное высшее,КНУ им. Шевченко,True,ниже среднего,Веб-разработка,12/06/2017 18:34:08,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92 Twitter for iPhone",0.5,0.5,500,,DEV,605.65859375
1314,Junior Software Engineer,C#/.NET,,1.5,1.5,600,150,Харьков,до 200 человек,Аутсорсинговая,мужской,20,Высшее,ХНУРЭ,True,выше среднего,"Desktop Applications,Gamedev",12/06/2017 18:39:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,600,,DEV,605.65859375
1316,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,400,400,Львов,до 50 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,ЛНУ им. Франко,True,продвинутый,Веб-разработка,12/06/2017 18:40:47,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,400,,DEV,605.65859375
1328,Junior Software Engineer,Java,,2,1,1100,700,Киев,свыше 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,True,средний,"Телекоммуникации,Корпоративные системы",12/06/2017 18:48:28,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,1100,,DEV,605.65859375
1332,Junior Software Engineer,C#/.NET,,1.5,1.5,900,300,Днепр,до 200 человек,Продуктовая,мужской,22,Высшее,НГУ [Днепропетровск],False,ниже среднего,"Веб-разработка,eCommerce",12/06/2017 18:52:44,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1.5,1.5,900,,DEV,605.65859375
1348,Junior Software Engineer,Swift,,1,0.5,700,200,Днепр,до 50 человек,Аутсорсинговая,мужской,25,Высшее,Другой вуз,False,средний,iOS,12/06/2017 19:01:27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,700,,DEV,605.65859375
1349,Junior Software Engineer,Java,,1,1,500,250,Черновцы,до 50 человек,Аутстаффинговая,мужской,30,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 19:01:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,500,,DEV,605.65859375
1353,Junior Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,300,0,Винница,до 50 человек,Аутсорсинговая,мужской,17,Среднее,,True,средний,Веб-разработка,12/06/2017 19:03:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,300,,DEV,605.65859375
1356,Junior Software Engineer,JavaScript,,0.5,0.5,600,300,Львов,до 200 человек,Аутсорсинговая,мужской,23,Высшее,Львовская Политехника,False,средний,Веб-разработка,12/06/2017 19:03:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,600,,DEV,605.65859375
1374,Junior Software Engineer,Java,,0.5,0.5,1500,1200,Киев,до 200 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,НТУУ «КПИ»,True,продвинутый,Другое,12/06/2017 19:19:12,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0.5,0.5,1500,,DEV,605.65859375
1376,Junior Software Engineer,Java,,1,0.25,500,400,Днепр,до 10 человек,Продуктовая,мужской,29,Среднее,,False,средний,Android,12/06/2017 19:20:24,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,500,,DEV,605.65859375
1386,Junior Software Engineer,JavaScript,,0.25,0.25,200,0,Днепр,до 50 человек,Аутсорсинговая,женский,21,Незаконченное высшее,НГУ [Днепропетровск],True,средний,Веб-разработка,12/06/2017 19:26:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,200,,DEV,605.65859375
1403,Junior Software Engineer,Ruby/Rails,,2,1.5,946,500,Львов,до 1000 человек,Аутсорсинговая,мужской,22,Высшее,Львовская Политехника,True,выше среднего,Веб-разработка,12/06/2017 19:38:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",2.0,1.5,946,,DEV,605.65859375
1406,Junior Software Engineer,C++,,2,2,1200,400,Киев,свыше 1000 человек,Аутсорсинговая,мужской,23,Высшее,НТУУ «КПИ»,False,выше среднего,"Embedded,Мультимедиа",12/06/2017 19:40:41,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1200,,DEV,605.65859375
1407,Junior Software Engineer,Ruby/Rails,,1,1,650,150,Днепр,до 200 человек,Продуктовая,мужской,24,Высшее,ДНУ им. Гончара,False,средний,"Веб-разработка,eCommerce",12/06/2017 19:41:47,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,650,,DEV,605.65859375
1409,Junior Software Engineer,C#/.NET,,меньше 3 месяцев,меньше 3 месяцев,230,30,Запорожье,до 50 человек,Другая,мужской,24,Высшее,ДонНТУ,False,ниже среднего,"Desktop Applications,Системное программирование",12/06/2017 19:44:23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.0,0.0,230,,DEV,605.65859375
1412,Junior Software Engineer,Java,,0.5,0.5,500,400,Днепр,до 1000 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,ДНУ им. Гончара,True,средний,Desktop Applications,12/06/2017 19:46:48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,500,,DEV,605.65859375
1424,Junior Software Engineer,C#/.NET,,0.5,0.5,650,650,Киев,до 50 человек,Продуктовая,мужской,21,Незаконченное высшее,КНУ им. Шевченко,True,выше среднего,"Desktop Applications,Финансы и банки",12/06/2017 19:56:27,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,650,,DEV,605.65859375
1426,Junior Software Engineer,Java,,0.25,0.25,500,0,Киев,до 1000 человек,Продуктовая,мужской,20,Среднее,,True,продвинутый,Desktop Applications,12/06/2017 20:00:50,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14F89 Safari/602.1",0.25,0.25,500,,DEV,605.65859375
1452,Junior Software Engineer,Java,,1,1,150,0,Ровно,до 200 человек,Аутстаффинговая,мужской,25,Высшее,Другой вуз,False,средний,Android,12/06/2017 20:22:09,Mozilla/5.0 (Android 4.1.2; Mobile; rv:53.0) Gecko/53.0 Firefox/53.0,1.0,1.0,150,,DEV,605.65859375
1461,Junior Software Engineer,JavaScript,,1,0.25,300,150,Днепр,до 10 человек,Аутсорсинговая,мужской,24,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,12/06/2017 20:27:07,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,300,,DEV,605.65859375
1473,Junior Software Engineer,PHP,,0.25,0.25,161,0,Днепр,до 10 человек,Продуктовая,мужской,23,Высшее,ДНУЖТ,False,ниже среднего,"Веб-разработка,eCommerce",12/06/2017 20:34:20,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,161,,DEV,605.65859375
1477,Junior Software Engineer,PHP,,1,1,400,0,Тернополь,до 50 человек,Продуктовая,мужской,24,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,12/06/2017 20:37:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,400,,DEV,605.65859375
1481,Junior Software Engineer,PHP,,1.5,1.5,200,0,Харьков,до 10 человек,Стартап,мужской,22,Высшее,Другой вуз,True,ниже среднего,Веб-разработка,12/06/2017 20:39:44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,1.5,200,,DEV,605.65859375
1483,Junior Software Engineer,JavaScript,,1.5,1.5,800,400,Львов,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,Львовская Политехника,False,ниже среднего,Веб-разработка,12/06/2017 20:41:41,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,1.5,800,,DEV,605.65859375
1487,Junior Software Engineer,JavaScript,,1,0.5,700,500,Одесса,до 10 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,ОНПУ,True,средний,Веб-разработка,12/06/2017 20:45:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,0.5,700,,DEV,605.65859375
1488,Junior Software Engineer,JavaScript,,2,2,840,300,Одесса,до 200 человек,Продуктовая,женский,22,Высшее,ОНПУ,False,выше среднего,Веб-разработка,12/06/2017 20:46:16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",2.0,2.0,840,,DEV,605.65859375
1489,Junior Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,700,0,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,21,Высшее,НТУ «ХПИ»,True,средний,"Веб-разработка,eCommerce",12/06/2017 20:48:00,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,0.0,0.0,700,,DEV,605.65859375
1494,Junior Software Engineer,Java,,1,1,1200,500,Одесса,до 200 человек,Аутсорсинговая,мужской,26,Высшее,Другой вуз,False,продвинутый,eCommerce,12/06/2017 20:49:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,1200,,DEV,605.65859375
1498,Junior Software Engineer,C#/.NET,,0.25,меньше 3 месяцев,500,0,Киев,до 200 человек,Аутсорсинговая,женский,22,Высшее,ГУТ,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 20:51:14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.0,500,,DEV,605.65859375
1505,Junior Software Engineer,JavaScript,,1.5,1,1235,200,Днепр,до 200 человек,Продуктовая,мужской,23,Высшее,ДНУ им. Гончара,False,ниже среднего,Веб-разработка,12/06/2017 20:56:22,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1.5,1.0,1235,,DEV,605.65859375
1509,Junior Software Engineer,C#/.NET,,1,0.5,500,0,Днепр,до 200 человек,Другая,мужской,31,Два высших,ДНУ им. Гончара,False,ниже среднего,"Android,iOS",12/06/2017 20:58:49,"Mozilla/5.0 (Linux; Android 6.0.1; XT1562 Build/MPDS24.107-52-11) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.5,500,,DEV,605.65859375
